ID,1) Nome do Enumerador,1_1)numero equipa,2) data questionario,3) Districto,4) Comunidade situada costa,5) Código da Comunidade,6) Número do AF,7) Número do Questionário,15) Código do operador,16) Observações,1_1 Anos,1_2,1_3,1_3 texto,1_4,1_5,1_6,1_7,1_8),1_9),1_10),1_11),1_12),1_13),1_14),1_15 ),1_16),2_1A,2_1 B,2_1 C,2_1 D,2_1E,2_2,2_3,2_4,2_5A,2_5B,2_5C,3_1A,3_1B,3_1C,3_1D,3_1E,3_1F,3_1G,3_1H,3_1I,3_1J,3_1K,3_1L,3_1M,3_1N,3_1O,3_1P,3_1Q,3_1R,3_1S,3_1T,3_1U,3_1V,3_1W,3_1X,3_1Y,3_1Z,3_1AA,3_1AB,3_1AC,3_1AD,3_2A,3_2B,3_2C,3_2D,3_2E,3_2F,3_3,3_4A,3_4B,3_4C,3_5,3_5 text,4_1,4_2,4_31,4_32,4_33,4_34,4_35,4_36,4_37,4_38,4_39,4_310,4_311,4_312,4_313,4_314,4_315,4_316,4_317,4_318,4_319,4_320,4_321,4_322,4_323,4_324,4_325,4_326,4_327,4_328,4_388,4_329,4_4A,4_4B,4_4C,4_5A,4_5B,4_5C,4_6,4_7,4_8,4_9,4_10,4_11A,4_11B,4_11C,4_11D,4_11E,4_11F,4_11 G,4_11 H,4_11 I,4_11 J,4_11 K,4_11 L,4_11 M,4_11 texto,5_1,5_2,5_3,5_4,5_5,5_6,5_7A,5_7B,5_7C,5_7D,5_7E,5_7F,5_7G,5_7H,5_7I,5_8A,5_8B,5_8C,5_8D,5_8E,5_8F,5_8G,5_8OUTRO,5_9 text,5_9A,5_9B,5_9C,5_10A,5_10B,5_10C,5_11,5_12A,5_12B,5_12C,5_12D,5_12E,5_12F,5_12G,5_12H,5_12I,5_13,5_14A,5_14B,5_14C,5_14D,5_14E,5_14OUTROS,6_1,6_2 A,6_2 B,6_2 C,6_2D,6_2E,6_2F,6_2G,6_2H,6_2OUTRO,6_3,6_4 A,6_4 B,6_4 C,6_4D,6_4E,6_4F,6_4G,6_4H,6_4I,6_4OUTRO,6_5,6_6,7_1,7_2,7_3,7_3 A,7_3 B,7_3 C,7_3 D,7_3 E1,7_3 E2,7_3 E3,7_3 F,7_3 G,7_3 H,7_3 I,7_3 J,7_3 K,7_3 L,7_3 M,7_3 N,7_3 O,7_3 P,7_3 Q,7_3 R,7_3 S,7_3 T,7_3 U,7_3 V,7_3 X,7_4,7_5,7_6 JAN,7_6 FEV,7_6 MAR,7_6 ABR,7_6 MAI,7_6 JUN,7_6 JUL,7_6 AGO,7_6 SET,7_6 OUT,7_6 NOV,7_6 DEZ,7_7,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,8_11,8_12,8_13,8_14,8_15,8_16,8_17,8_18,8_19,8_20,8_21,8_22,8_23,8_24,9_1,9_2,9_1 text,10_1,10_2 A,10_3 A,10_4 A,10_2 B,10_3 B,10_4 B,10_2 C,10_3 C,10_4 C,10_2 D,10_3 D,10_4 D,10_5,10_6,10_7,10_8,10_9,10_10,10_11,10_12,10_13,Lookup to Table2,Lookup to Table3
1145,Abubacar,,9/17/2018,Moma,No,9,2,1145,3,,3,1,2,,2,1,1,5,1,3,2,3,1,0,1,0,2,1,7,0,0,0,7,1,2,0,0,0,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,5,2,0,0,0,0,,1,3,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,,1,3,1,3,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,,,1,8,3,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,1,2,2,2,2,,2,2,2,3,,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,4,1,4,,
1146,Benício,,9/11/2018,Angoche,No,3,3,1146,3,,4,1,2,,1,2,1,5,1,3,2,4,0,0,0,0,2,1,6,7,0,0,7,1,2,0,0,0,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,3,1,4,88,88,6,,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,9,2,88,88,88,88,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,,7,3,1,3,1,3,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,,,1,88,88,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,1,2,2,2,2,,2,2,2,0,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,7,1,2,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,3,,3,1,7,1,2,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,3,1,1,,
1147,Filomena,,9/17/2018,Moma,No,9,5,1147,3,,4,1,2,,2,2,1,5,1,3,1,5,1,0,0,0,2,1,8,12,0,0,8,12,2,0,0,0,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,0,0,7,0,0,2,2,0,0,0,0,,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,6,7,2,6,7,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,,5,3,1,3,2,0,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,,,4,6,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,,1,1,2,2,2,2,1,2,2,,1,2,2,2,2,2,1,2,2,2,,2,2,2,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,4,2,0,,
1148,Samito,,9/17/2018,Moma,No,9,6,1148,3,,5,1,2,,1,1,2,3,1,4,2,7,3,1,3,1,1,1,7,0,0,0,7,1,2,0,0,0,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,3,0,0,3,2,0,0,0,0,,2,3,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,7,9,2,7,9,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,6,3,1,3,1,3,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,,,1,88,88,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,1,2,2,2,2,,1,1,3,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,,1,1,15,1,2,15,2,2,0,0,0,0,0,0,1,4,0,0,2,0,4,1,1,,
1149,Samito,,9/17/2018,Moma,No,9,4,1149,3,,3,1,2,,1,1,4,3,1,4,2,6,0,0,0,0,2,1,6,0,0,0,6,1,2,0,0,0,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,0,0,0,0,,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,7,9,2,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,1,2,2,2,2,,1,1,3,0,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,1,1,,
1150,Samito,,9/17/2018,Moma,No,9,3,1150,3,,3,1,2,,1,2,2,3,1,2,1,3,1,0,0,0,1,1,7,0,0,0,7,1,2,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6,8,2,88,88,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,6,3,1,3,1,3,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,,,1,88,88,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,,1,1,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,2,2,2,,1,1,2,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,1,1,7,2,2,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,1,1,1,,
1151,Samito,,9/17/2018,Moma,No,9,2,1151,3,,5,1,7,,1,1,2,5,1,4,1,5,1,0,0,0,1,1,6,0,0,0,6,1,2,0,0,0,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,,2,3,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6,9,2,88,88,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,1,2,2,2,1,2,1,,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,3,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,1,1,,
1152,Ana,,9/11/2018,Angoche,No,3,8,1152,3,,4,1,2,,2,1,4,5,1,4,1,8,1,1,1,1,2,7,2,0,0,0,2,7,2,0,0,0,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,0,0,8,0,0,9,2,0,0,0,0,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,88,88,2,88,88,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Problema de Macacos,,0,0,2,0,2,0,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,,,3,88,88,3,3,2,2,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,2,2,2,2,1,2,2,,1,1,2,2,2,1,2,1,2,2,,1,1,2,2,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,4,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,13,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,,
1153,Samito,,9/11/2018,Angoche,No,3,3,1153,3,,4,1,2,,1,2,2,3,1,3,2,4,0,0,0,0,2,1,7,0,0,0,7,1,2,0,0,0,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,4,0,0,0,2,0,0,0,0,,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6,9,2,88,88,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,6,3,1,3,1,3,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,,,1,88,88,2,2,2,1,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,,1,2,2,2,2,2,1,2,2,,1,2,2,2,2,1,2,2,2,2,,1,2,3,0,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,1,1,,
1154,Samito,,9/11/2018,Angoche,No,3,4,1154,3,,5,1,2,,1,1,2,4,1,4,2,7,2,2,2,2,2,1,7,0,0,0,7,1,2,0,0,0,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,6,0,0,0,2,0,0,0,0,,2,3,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,7,9,2,88,88,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,2,3,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,1,88,88,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,,0,0,2,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,2,1,15,1,1,15,2,2,15,3,2,0,0,0,2,0,0,0,1,3,4,1,1,,
1155,Filomena,,9/8/2018,Angoche,No,1,1,1155,3,,3,2,1,,1,2,2,2,2,,,2,0,0,0,0,1,1,6,0,0,0,1,6,2,0,0,0,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,2,0,0,0,0,,2,3,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,0,2,2,6,7,2,6,7,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,2,2,2,2,2,1,2,2,,2,0,0,0,0,0,0,0,0,0,,0,0,2,2,,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,,99,1,15,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,2,0,,
1156,Ramadane,,9/8/2018,Angoche,No,1,1,1156,3,,5,1,1,,2,2,2,5,1,4,2,2,0,0,0,0,1,1,24,2,0,0,2,1,2,0,0,0,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,2,0,0,0,0,,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,F.Oloko,2,9,7,29,88,88,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,,0,0,2,0,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
1157,Ramadane,,9/8/2018,Angoche,No,1,2,1157,3,,5,1,1,,2,2,1,5,1,5,1,2,0,0,0,0,2,1,22,0,0,0,22,1,1,8,88,88,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,7,9,88,88,88,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,,0,0,2,0,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5,1,2,1,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
1158,Ramadane,,9/8/2018,Angoche,No,1,3,1158,3,,4,1,2,,2,2,2,2,1,3,2,3,0,0,0,0,1,1,0,0,0,0,1,1,1,14,88,88,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,2,1,4,88,88,14,Expulsao do trabalho,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,F.Oloko,1,2,7,29,6,88,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,,0,0,1,0,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
1159,Ramadane,,9/8/2018,Angoche,No,1,4,1159,3,,4,1,2,,2,1,3,5,1,4,1,6,1,1,0,1,2,1,0,0,0,0,1,1,2,0,0,0,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,15,0,5,0,0,2,2,0,0,0,0,,2,3,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,9,6,6,88,88,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,,0,0,2,2,,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,1,1,15,1,2,15,2,2,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
1160,Samito,,9/15/2018,Angoche,No,8,6,1160,3,,5,1,2,,1,2,1,5,1,5,1,2,0,0,0,0,1,1,18,0,0,0,18,1,2,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,88,2,88,88,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,,1,1,1,0,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
1161,Samito,,9/15/2018,Moma,No,8,7,1161,3,,3,1,1,,1,2,2,4,1,3,1,5,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3,6,1,88,88,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,2,2,2,,1,1,2,0,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,1,2,0,,
1162,Samito,,9/15/2018,Moma,No,8,5,1162,3,,5,1,1,,1,1,2,5,1,5,1,4,0,1,0,0,1,1,7,0,0,0,7,1,2,0,0,0,2,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,0,0,1,0,0,0,2,0,0,0,0,,2,3,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6,7,2,88,88,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,2,3,1,3,1,3,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,,1,88,88,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,,1,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,,1,1,2,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,1,,
1163,Samito,,9/15/2018,Moma,No,8,1,1163,3,,4,1,1,,1,1,4,5,1,4,1,4,1,0,0,0,1,1,6,0,0,0,1,1,2,0,0,0,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,7,2,0,0,0,0,,4,4,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,7,8,2,88,88,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,1,1,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,,2,2,2,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,1,,
1164,Filomena,,9/15/2018,Moma,No,8,4,1164,3,.,4,1,2,,2,2,1,3,1,3,1,5,0,1,0,0,2,1,21,0,0,0,1,21,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,6,2,0,0,0,0,,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6,7,2,6,7,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,1,2,2,2,1,1,1,2,1,,2,0,0,0,0,0,0,0,0,0,,0,0,2,2,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,0,,
